exp_id,modality,model,augmentation,best_val_miou,best_val_pixel_acc,best_epoch,total_epochs_run,duration_min,status
4,RGB,Hybrid SSRN-ViT,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
5,RGB,Hybrid SSRN-ViT,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
6,RGB,Hybrid SSRN-ViT,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
7,RGB,MambaHSI,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
8,RGB,MambaHSI,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
9,RGB,MambaHSI,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
10,HSI,DeepLabV3+,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
11,HSI,DeepLabV3+,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
12,HSI,DeepLabV3+,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
13,HSI,Hybrid SSRN-ViT,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
14,HSI,Hybrid SSRN-ViT,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
15,HSI,Hybrid SSRN-ViT,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
16,HSI,MambaHSI,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
17,HSI,MambaHSI,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
18,HSI,MambaHSI,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
19,RGB+HSI,DeepLabV3+,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
20,RGB+HSI,DeepLabV3+,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
21,RGB+HSI,DeepLabV3+,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
22,RGB+HSI,Hybrid SSRN-ViT,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
23,RGB+HSI,Hybrid SSRN-ViT,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
24,RGB+HSI,Hybrid SSRN-ViT,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
25,RGB+HSI,MambaHSI,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
26,RGB+HSI,MambaHSI,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
27,RGB+HSI,MambaHSI,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
1,RGB,DeepLabV3+,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
2,RGB,DeepLabV3+,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
3,RGB,DeepLabV3+,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
4,RGB,Hybrid SSRN-ViT,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
5,RGB,Hybrid SSRN-ViT,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
6,RGB,Hybrid SSRN-ViT,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
7,RGB,MambaHSI,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
8,RGB,MambaHSI,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
9,RGB,MambaHSI,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
10,HSI,DeepLabV3+,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
11,HSI,DeepLabV3+,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
12,HSI,DeepLabV3+,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
13,HSI,Hybrid SSRN-ViT,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
14,HSI,Hybrid SSRN-ViT,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
15,HSI,Hybrid SSRN-ViT,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
16,HSI,MambaHSI,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
17,HSI,MambaHSI,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
18,HSI,MambaHSI,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
19,RGB+HSI,DeepLabV3+,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
20,RGB+HSI,DeepLabV3+,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
21,RGB+HSI,DeepLabV3+,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
22,RGB+HSI,Hybrid SSRN-ViT,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
23,RGB+HSI,Hybrid SSRN-ViT,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
24,RGB+HSI,Hybrid SSRN-ViT,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
25,RGB+HSI,MambaHSI,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
26,RGB+HSI,MambaHSI,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
27,RGB+HSI,MambaHSI,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /media/bs_thesis/DEF2F39DF2F377DB/Documents/BS_THESIS/DATASETS/PCBDataset/RGB
1,RGB,DeepLabV3+,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
2,RGB,DeepLabV3+,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
3,RGB,DeepLabV3+,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
4,RGB,Hybrid SSRN-ViT,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
5,RGB,Hybrid SSRN-ViT,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
6,RGB,Hybrid SSRN-ViT,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
7,RGB,MambaHSI,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
8,RGB,MambaHSI,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
9,RGB,MambaHSI,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
10,HSI,DeepLabV3+,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
11,HSI,DeepLabV3+,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
12,HSI,DeepLabV3+,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
13,HSI,Hybrid SSRN-ViT,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
14,HSI,Hybrid SSRN-ViT,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
15,HSI,Hybrid SSRN-ViT,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
16,HSI,MambaHSI,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
17,HSI,MambaHSI,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
18,HSI,MambaHSI,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
19,RGB+HSI,DeepLabV3+,None,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
20,RGB+HSI,DeepLabV3+,Copy-Paste,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
21,RGB+HSI,DeepLabV3+,CutMix,N/A,N/A,N/A,N/A,N/A,FAILED: No image files found in /home/bs_thesis/Documents/BS_THESIS/PCBVision/01_Data/Patches_256_Overlap_Data/RGB
